Complexity,Loss,Equation
1,2159.7737,"x0"
3,2124.9622,"x0 + x1"
4,1882.8334,"x0 - 16.641895"
5,1362.6611,"cube(x0) * 0.00031545732"
6,925.73694,"cube(square(x0 * -0.033674363))"
7,825.6772,"square(square(square(x0 * 0.027803488)))"
9,508.18643,"square(square(cube(x0 * -0.02392207)) - x1)"
10,425.58145,"square(square(cube(x0)) * 1.5674538e-10) - square(x1)"
12,244.69733,"square(x1 - square(cube((x0 + -23.130968) * 0.037113722)))"
14,234.3972,"square(square(cube((x0 - 24.256054) * 0.038180426)) - x1) - x1"
15,210.48166,"square((x1 * 1.2845238) - cube(square((27.918953 - x0) * 0.04223437)))"
